,product_uid,product_description
0,100001,"Not only do angles make joints stronger, they also provide more consistent, straight corners. Simpson Strong-Tie offers a wide variety of angles in various sizes and thicknesses to handle light-duty jobs or projects where a structural connection is needed. Some can be bent (skewed) to match the project. For outdoor projects or those where moisture is present, use our ZMAX zinc-coated connectors, which provide extra resistance against corrosion (look for a ""Z"" at the end of the model number).Versatile connector for various 90 connections and home repair projectsStronger than angled nailing or screw fastening aloneHelp ensure joints are consistently straight and strongDimensions: 3 in. x 3 in. x 1-1/2 in.Made from 12-Gauge steelGalvanized for extra corrosion resistanceInstall with 10d common nails or #9 x 1-1/2 in. Strong-Drive SD screws"
1,100002,"BEHR Premium Textured DECKOVER is an innovative solid color coating. It will bring your old, weathered wood or concrete back to life. The advanced 100% acrylic resin formula creates a durable coating for your tired and worn out deck, rejuvenating to a whole new look.  For the best results, be sure to properly prepare the surface using other applicable BEHR products displayed above.California residents: see&nbsp;Proposition 65 informationRevives wood and composite decks, railings, porches and boat docks, also great for concrete pool decks, patios and sidewalks100% acrylic solid color coatingResists cracking and peeling and conceals splinters and cracks up to 1/4 in.Provides a durable, mildew resistant finishCovers up to 75 sq. ft. in 2 coats per gallonCreates a textured, slip-resistant finishFor best results, prepare with the appropriate BEHR product for your wood or concrete surfaceActual paint colors may vary from on-screen and printer representationsColors available to be tinted in most storesOnline Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT"
2,100003,"Classic architecture meets contemporary design in the Ensemble Curve series, made of solid Vikrell material, blending sleek, clean lines with gentle curves. Corner shelving is perfect for storing bath accessories. Modular design allows it to be moved around corners and through doorways with ease. Curve wall with a smooth, contemporary look, featuring integrated storage shelves.Slightly narrower for tighter spacesDesigned with an 18 in. apronDurable high-gloss finish provides a smooth, shiny surface that is easy to cleanConforms to ANSI Z124.1.2 and CSA B45.1 national consensus standardsCurve wall with a smooth, contemporary look, featuring integrated storage shelves"
3,100004,"The Grape Solar 265-Watt Polycrystalline PV Solar Panel bonus pack bundles 4 Grape Solar 265-Watt solar panels for extra savings. The Grape Solar 265-Watt Polycrystalline PV Solar Panel uses high efficiency solar cells (approximately 19%) made from quality silicon material for high module conversion efficiency, long term output stability, and reliability. Virtually maintenance free. High transmittance, low iron tempered glass for durability and enhanced impact resistance.Positive power tolerance (0 to +5-Watt)Anti-reflective and anti-soiling surface reduces power loss from dirt and dustOutstanding performance in low-light irradiances environmentsCertified to withstand high wind and snow loads100% electroluminescence inspection ensures modules are defect freePositive and negative leads quipped with MC4 connectors"
4,100005,"Update your bathroom with the Delta Vero Single-Handle Shower Faucet Trim Kit in Chrome. It has a sleek, modern and minimalistic aesthetic. The MultiChoice universal valve keeps the water temperature within +/-3 degrees Fahrenheit to help prevent scalding.California residents: see&nbsp;Proposition 65 informationIncludes the trim kit only, the rough-in kit (R10000-UNBX) is sold separatelyIncludes the handleMaintains a balanced pressure of hot and cold water even when a valve is turned on or off elsewhere in the systemDue to WaterSense regulations in the state of New York, please confirm your shipping zip code is not restricted from use of items that do not meet WaterSense qualifications"
5,100006,"Achieving delicious results is almost effortless with this Whirlpool over-the-range microwave hood with convection cooking. With 1.9 cu. ft. capacity, you'll have room to prepare multiple dishes at once. And, you won't have to micro-manage the cooking process thanks to the sensor cooking options. Sensor cooking tracks cooking progress and automatically adjusts cooking time. Convection roasting and baking allows you to bake cakes, bread, cookies and roast meats with ease. Clean-up is simple too with the industry leading CleanRelease non-stick interior surface. It easily releases cooked-on food without the use of harsh chemicals. A damp cloth or sponge is all that is needed to remove cooked-on spills and splashes.California residents: see&nbsp;Proposition 65 informationSpacious 1.9 cu. ft. capacity accommodates dinner plates and casserole dishes with ease1100 watts of cooking power and 10 cooking levels make cooking and reheating a snap400 CFM venting system whisks smoke, steam and odors away from the cooktop to keep your kitchen air clearSingle piece door with built-in touch-activated control console streamlines the exterior for a sleek, modern look and easy cleanupCook with confidence with the Sensor and Programmed cooking cycles and options. Sensor cycles include: Steam/Simmer, AccuPop and Potato for fast prep of family favoritesKids' Menu: it's simple, it's fast. The Kids' Menu is preset with cooking times and power levels for a variety of favorites like pizza and chicken nuggets. Now after school snacks don't have to be an afternoon hassleTimeSavor Plus True Convection cooking uses a 1600-watt element and a fan to circulate heat over, under and around food for fast cooking and even browningIndustry leading CleanRelease non-stick interior requires no special cleaners. A damp cloth or sponge is all that's needed to remove cooked-on spills and splashesRecessed turntable's on/off feature is especially helpful when cooking with plates that are larger than the turntableAutomatic interior incandescent light and large window help you track cooking progress4-speed fan with Auto Vent Fan function. To keep the microwave oven from overheating, the vent fan will automatically turn on at high speed if the temperature from the range or cooktop below the microwave oven gets too hotReplaceable charcoal and dishwasher safe mesh filters takes grease and other impurities out of the air90 hinge. With this innovative hinge design you can install this model next to a wall and still open the door easilyLimited 1-year warrantyConvertible venting. Can be installed as vented or non-vented (recirculating) to fit a variety of installation needsAccuPop cycle senses the perfect pop every time. It adapts cooking time using a sound sensor that measures the time between pops so you don't have to worry about bag size or excessive unpopped kernels. Now you can finally watch the movie, not the microwaveIncluded items: convection rack, SureMist steamer and cooking rack. Included cooking rack lets you microwave on two levels, so you can cook several items at onceClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for this product"
6,100007,"The Quantum Adjustable 2-Light LED Black Emergency Lighting Unit from Lithonia Lighting provides a minimum of 90 minutes of illumination upon loss of power. Adjust the direction of light using the unique track-and-swivel design of the 2 heads. This unit is ideal for applications requiring attractive equipment with quick installation.Advanced LED technology is dependable and energy efficient2 adjustable heads allow you to direct light where it is neededEngineering-grade thermoplastic housing is impact-resistant, scratch-resistant and corrosion-proofIntegrated LEDs means no bulbs are requiredTypical life of the LEDs is 10 years of maintenance-free operationBlack housing has a compact low-profile designSealed, maintenance-free Ni-cad battery delivers 90 minute capacity to the LEDsDual voltage input capability (120 to 277-volt)Easily installs to wall or ceilingUL damp-location listed"
7,100008,"The Teks #10 x 1-1/2 in. Zinc-Plated Steel Washer-Head Hex Self-Tapping Drill-Point Screws (90-Pack) helps you fasten metal to metal. The steel screw is ideal for use with metal of a thicker gauge. Drill point and flute remove material and size holes for threads. Install using a standard screw gun (not included) and a 5/16 in. hex drive bit (not included). No pre-drilling required.For metal to metal fasteningIdeal for use with metal of a thicker gaugeUse with HVAC, electrical and door applicationsScrews tap their own headsSteel construction1-1/2 in. longZinc-plated"
8,100009,"Get the House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing to add an elegant look to a room. Its pre-primed surface is free of knots, ready to be painted to match your decor. It cuts and installs easily for a quality look when finished. Its unique detail will add an architectural touch to any room or project.California residents: see&nbsp;Proposition 65 informationMade of primed MDFCan be painted to match your decorResistant to moistureFor interior use96 in. Length"
9,100010,"Valley View Industries Metal Stakes (4-Pack) are 9 in. galvanized steel stakes for use with all Valley View lawn edgings and brick and paver edgings. These utility stakes can also be used for many other purposes. It is recommended that anchor stakes are used every five feet on designs that have the edging in straight lengths. Where there are curved designs for edgings, additional anchor stakes are recommended at the curve points. Anchor stakes should be staked in at a 45 degree angle. Gloves and eye protection are recommended.Can be used with all valley View lawn edgings and brick/ paver edgingsUtility stakes can be used for many purposesGalvanized steel for strength9 in. lengthPriced competitively yet provides much more value in product"
10,100011,"Recycler 22 in. Personal Pace Variable Speed Self-Propelled Gas Lawn Mower with Briggs & Stratton Engine. For homeowners seeking a lawn mower with high quality, a user-friendly design, and excellent mulching capability. Toro products are known for Smart Features and Proven Dependability. Count On It.Recycler cutting system - front throw chamber and atomic blade lift, suspend and re-cut clippings into a fine mulch for a healthy, lush lawn22 in. steel deck with atomic bladeBriggs & Stratton 7.25 ft. lbs. gross torque 190cc engine with ready start - no need to prime or chokePersonal pace self-propel system senses and smoothly adjusts to your preferred walking pace3-in-1: mulch, side discharge or bagBag-on-demand - quickly switch from mulching to bagging in seconds by flipping the quick-change leverRear wheel drive self propel provides better traction in all cutting conditions - let the mower do the workWashout port - attach a hose to the mower deck to easily clean the underside of the deck""Quick connect"" bagging system9 cutting positions with 1-4 in. cutting height range to manicure the lawn to your specifications3-year guaranteed-to-start and 2-year full warranty, see retailer for detailsGross torque of this engine was laboratory rated at 2800 rpm per SAE J1940 by the engine manufacturer, as configured to meet safety, emission, and operating requirements, the actual engine torque on this class of mower will be significantly lowerNote: product may vary by storeHome Depot Protection Plan AvailableActual products offered may vary"
11,100012,"The 96 in. wide Caramel Simple Weave Rollup Bamboo Shade adds a unique casual style to any room. Replace your white window blinds with this versatile natural shade and add warm comforting tones to your decor. This cozy natural shade (also called a bamboo blind or bamboo shade) is composed of natural environmental friendly materials and installs easily with simple hooks. It has a textured caramel finish that complements many hardwood floor and furniture styles, and looks great with a jute or sisal rug. Bamboo flatstick slats are held together by a dark-weave cord, which gently roll up when more sunlight is needed. Textured natural shades are stylishly complementary to coastal, lake, beach, mountain, cottage, or traditional styles of interior decorating. If you plan to use this natural shade outdoors on the porch or deck, you can simply unhook it and bring it indoors easily during the off season if you choose. Shade sizes 60 inch wide and larger roll up for easy lifting. Sizes narrower than 60 in. wide fold up roman style. All sizes install easily with simple hooks.96 in. W x 72 in. LActual Blind Width is 96 in.No deductions are made to this blind - the actual width of this blind is the same as width orderedFor an Inside Mount, fits windows: 96 in. WideFor an Outside mount, order the width of the overall area to be coveredShade provides privacy and the perfect amount of lightShips within 2-3 business daysBamboo slats held by a dark weave cord for warm tones and natural beautyNatural materials may vary slightly in colorRolls up easily when you want to let in additional sunlightInstalls in minutes with the included simple hook hardwareFilters out light for energy-efficient insulationIncludes a 6 in. matching valance, a color coordinated weaving thread and pull cordsDecorating Tip: Add depth and texture to a room by layering textured window shades under curtain panels or cornice boardsDecorating Tip: To make your windows look larger, you can hang this shade outside the molding or up to the ceilingNot sure what size to buy? Click here to download a printable window treatment measuring guide!WARNING: The cords on this product present a potential strangulation hazard. For child safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images."
12,100013,"The InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers is a stylish alternative to a wall switch. The Switch is air-activated, mounts easily to your sink or countertop and is ideal for island installations.Kit includes satin nickel, chrome and white finish buttons to complement decorCompatible with disposers that have AC below the sinkSuitable for kitchen island installationsIncludes the fittings required to install a single outlet sink top switchAdditional button finishes available include gloss black, biscuit, mocha bronze, oil-rubbed bronze, matte black, and french gold"
13,100014,"The Rubbermaid 1-Step Folding Plastic Step Stool is the perfect tool when you need extra height in the kitchen, bathroom, office or garage. This folding stool features a solid, one-piece platform top step, making it much stronger and sturdier than other folding stools. Designed with an easy-folding frame, locking top step and a 300 lbs. weight capacity, you'll feel safe and comfortable getting to those hard to reach places. The step stool features non-slip grip on the feet and standing platform.Folds up for easy storage virtually anywhere300 lbs. Load capacityComfortable, solid standing surfaceEasy to use"
14,100015,"Backyard X-Scapes, Inc. uses the finest bamboo canes from the Anji Mountain located in China to manufacturer their bamboo fencing. Their bamboo fencing goes through a rigorous process to ensure that its customers will be receiving a quality bamboo product. Held together by galvanized steel wires and cut to cap off the top, its construction give consumers the ability to easily install each panel. With additional hardware and supplies, the versatility of these panels can range from gates, to doors, additive shades for roofs, or just as an accent. Why not use this economical friendly resource to help enhance your indoor and/or outdoor appearance.Pest resistantStrong and durableEasy installationTreatment: Fencing is not treated. Always apply a good quality; oil based UV-resistant wood sealant using a brush for best applicationApprox. 1 in. diameter, natural colorHeavy duty galvanized steel wires"
15,100016,"Make grilling great with this handsome and functional grill gazebo. This grill gazebo is a great gift to anyone who loves to grill, yourself included! Providing shade and protection from harmful UV rays, rain, and debris this grill gazebo will help keep your grill looking great and keep you cool when grilling in the hot summer sun. This grill gazebo comes with a rich brown canopy and black frame. Its 8 foot width means that you can easily fit most size grills beneath, and standing at 8 feet tall even the tallest grill afficionado will fit beneath comfortably! Upgrade your grilling today with the addition of this stunning grill gazebo!Vented canopyBuilt in lattice work is great for holding grill accessories2 built in tile shelvesVersatile design will coordinate easilyDurable, powder coated finishLow maintenance, easy to clean"
16,100017,"The MD Building Products 36 in. x 36 in. x 1/50 in. Aluminum Cloverleaf Natural Sheet with mill finish is lightweight, strong and rust resistant, making it suitable for a variety of home repair projects. Easy to cut or form, it features a stylish cloverleaf design.Use to repair door or window screens, or add stylish accents to room dividers and cabinet frontsLightweight and sturdy constructionEasy to cut and formRust resistant36 in. x 36 in. x 1/50 in.Mill aluminum finishStylish cloverleaf design"
17,100018,This classic plastic sprinkler head that fits all JW82 2 gal. watering cans. Creating a gentle shower for your flowers. Make of plastic.Size: 3.25 in. diameter x 2.75 in. tallThreaded sprinkler head easily attachesColor: whiteMade in the USA
18,100019,"The House of Fara 8 Linear ft. primed MDF Overlapping Wainscot Paneling will help you create an 8 linear ft. section of wainscot with chair rail and base moulding. Paint this easy to install primed paneling to complement your decor. Its unique detail will add an architectural touch to any room or project.California residents: see&nbsp;Proposition 65 informationMDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panelsOverlapping wainscotPrimed and ready to be painted to your preferenceEasy to install instructions includedKit includes chair rail and base moulding"
19,100020,"These unique LED multi-color sticks are sure to add to many locations within your home. The flexibility of being linkable gives you many options, particularly for under cabinet use. Convenient three pack of sticks.Great LED technology5 wattLast for 30,000 hoursCSA and UL approvedHome Depot Protection Plan:"
20,100021,"Installed in parks and backyards across the globe, Rain Bird's 1800 Series is the #1 selling commercial-grade pop-up sprinkler in the world. Chosen for its reliability, heavy-duty materials and versatility, the 1800 Series offers a broad selection of spray heads for watering shrubs, small lawns and irregularly shaped planting areas. Precision spray heads and nozzles customize your watering system to cover virtually any configuration of lawn or garden - not the sidewalk or driveway. The 1800 Series offers Rain Bird's patented pop-up mechanism for out-of-sight retraction into the lawn when not in operation. A wide choice of nozzles provides full circle, partial circle coverage or infinite pattern adjustment for optimum head-to-head coverage.Spray distance from 8 ft. to 15 ft.Patented close-in watering for most efficient uniform water coverage, resulting in the elimination of dry brown spotsHeavy-duty stainless-steel spring helps ensure flush retractionPop-up sprinkler head features a top-adjustment screw to adjust the spray distance4 in pop-up heightDual spray technology for water efficiencyReduces water waste in windy conditionsNote: Product may vary by store."
21,100022,"The Samsung 4.2 cu. ft. Front Load Washer with Steam in White is a high-efficiency ENERGY STAR/CEE Tier 3-rated washer. It's equipped with vibration-reduction technology and cleans your toughest stains. It has the capacity to wash a king size comforter, and the stainless steel diamond drum is gentler on clothes than traditional washers, while the Pure Cycle keeps the drum fresh. It offers flexibility with nine cycles and was constructed with premium materials and backed by a 10-year manufacturer warranty on the motor.4.2 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry roomStainless steel diamond drum won't rust or damage clothingSanitizing cycle for a cleaner wash ensures the right water temperature and activates the NSF sanitize cycle for 99.9% bacteria-free laundrySteam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stainsFeatures nine cycles: eco wash, normal, heavy duty, permanent press, sanitize, bedding, deep steam, delicates and woolENERGY STAR- and CEE Tier 3-ratedElectronic controls provide easy 1-touch operation and cycle display timePreset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best resultsAutomatic water level adjustment helps save on energy costsDelay start feature begins operation when it's most convenient for your scheduleVibration-reduction technology with special sensors keep the drum balanced, so you hardly know the washer is onErgonomic front-load design makes loading and unloading simple and easyStackable design provides all-in-1 vertical look to maximize floor spacePedestal shown in product image is not included with purchase and is offered separately during appliance checkoutCan only be used with high-efficiency detergent, typically two tablespoons per loadPlease note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.Click here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances"
22,100023,"Quikrete 80 lb. Crack-Resistant Concrete is designed to significantly reduce the amount of cracking caused by drying shrinkage. This concrete is ideal for driveways, walkways, floors, sidewalks and patios. The special blend of cement, sand, gravel, fibers and admixtures makes this the perfect concrete for both the professional and novice user who wants to tackle a concrete project.Designed to be used in slab-on-grade applications without the use of wire meshReduces the amount of cracking caused by drying shrinkageOffers superior workabilityProvides superior impact resistance4,000 PSI concrete mixNote: Product may vary by store"
23,100024,"From Smartphones to refrigerators and everything in between, a gas-free 1250-Watt generator for any situation. Silent, safe, and easy to use indoors or out. Powerful enough to back-up critical appliances - refrigerators and freezers - as well as home health care equipment and power tools. Whether it is for back-up power, camping, tailgating, or light duty construction, the Yeti 1250 generator gets it done.Power lights, tools, refrigerators, freezers and health care equipmentSilent and safe, no noise or fumesPower tools, lights, refrigerators, freezers and health care equipmentSafe to operate indoors; no cords coming from outsideHome Depot Protection Plan:"
24,100025,"Save your back and make moving easier with this telescopic furniture dolly. Easily adjust the sturdy stainless steel bars to fit larger furniture. The rubber swivel wheels make moving large, heavy objects around corners a breeze and the rear locking wheels ensure your furniture won't roll away.Easy assemblyTelescopic dollyRubber swivel wheels2 locking wheels4 sturdy PVC corner pieces4 sturdy stainless steel polesWeight limit: 220 lbs.Each side extends from 21 in. to 31 in. in length"
25,100026,"Our 10 ft. x 10 ft. (100 sq. ft.) Yorkstone patio is uniquely designed in a basketweave pattern. Add this beautiful addition to your backyard and get the expensive natural stone look at a fraction of the price. Its an entire 10 ft. x 10 ft. patio on one pallet.Beautiful color blend with a natural stone textureIncludes two different sized patio blocks, 12 in. x 24 in. and 24 in. x 24 in.Printed pattern included in each pallet for an easy installation visualUse to make a basket weave style walkwayPurchase multiple patios and install around your in-ground pool or make a larger outdoor living spaceFor installing around steps or flower-beds just use a wet masonry saw blade to cut and fit"
26,100027,"The UltraTouch 48 in. x 24 ft. Radiant Barrier is easy to use and install and is made from recycled natural fibers. The radiant barrier provides excellent thermal and acoustical insulation, reflecting up to 97% of radiant energy for excellent savings on heating and cooling costs.Reflects up to 97% of radiant energy, reducing heating and cooling costsEasy to use and installRecycled natural-fiber padding is durableBlanket-type, foil-faced insulation is lightweight and versatileExcellent acoustical performanceClass-A or Class-1 fire rating"
27,100028,"Reed fencing is a convenient and cost effective way to add texture and a dynamic aesthetic to your home and garden. This fencing is constructed from fresh water reed that grows abundantly along river banks, wetlands, and estuaries. The pre-assembled panels are carefully woven together by vinyl coated wire to ensure durability while remaining seamless. This lightweight material is perfect for easily covering unsightly structures such as old fencing, or it can add a tropical aesthetic to your landscape or pool area. Using reed fencing as a screen can also aid in enhancing privacy for your home and garden. Using renewable resources is an excellent way to aid in preserving our environment, the abundant growth rate of fresh water reed makes it an eco-friendly option.Fresh water reed has a rapid growth rate which makes it an eco-friendly optionEfficiently create a privacy screen for your home and yardProduct measures 1/8 in. Dia x 6 ft. high x 16 ft. longEasily connect additional panels by tying them together with wire"
28,100029,"Achieving a vintage, time-worn look is simple if you start with the right paint. With Americana DecorChalky Finish paint, creating beautiful home decor and furniture pieces does not require skills or hours of training. Make store-bought pieces or flea market finds look like they came from a European estate sale or a French countryside cottage by using Americana Decor Chalky Finish paint.Ultra-matte sheen that can be quickly customized with different waxes or varnishes that delivers a smooth, soft finish every timeOne coat coverage over most sealed surfaces and base colors - one can covers up to 120 sq. ft.Cleans easily with soap and waterNo need to use primer - reliable adhesion to most surfaces without sanding or using a layer of primerFinal packaging my varyClick Here to learn more about Chalky Finish PaintChalky Finish is also available in the following colorsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
29,100030,"White Designer Shelf Brackets offer a stylish alternative to typical shelf brackets. They feature a seamless white, vinyl cover that is placed over the bracket bases to hide the hardware and provide a clean, simple look.Weight capacity of 100 lbs. per pair of brackets (when mounted into wall studs)Durable steel constructionSupports shelving to display home decor itemsEasy installation1 bracket and 1 vinyl cover includedNeutral color that blends in with any home decor styleSupports shelves that are 6 to 12 in. deep"
