,Unnamed: 0,product_uid,product_description
11,11,100012,"['wide', 'caramel', 'simple', 'weave', 'rollup', 'bamboo', 'shade', 'add', 'unique', 'casual', 'style', 'room', 'replace', 'white', 'window', 'blind', 'versatile', 'natural', 'shade', 'add', 'warm', 'comforting', 'tone', 'decor', 'cozy', 'natural', 'shade', 'also', 'called', 'bamboo', 'blind', 'bamboo', 'shade', 'composed', 'natural', 'environmental', 'friendly', 'material', 'installs', 'easily', 'simple', 'hook', 'ha', 'textured', 'caramel', 'finish', 'complement', 'many', 'hardwood', 'floor', 'furniture', 'style', 'look', 'great', 'jute', 'sisal', 'rug', 'bamboo', 'flatstick', 'slat', 'held', 'together', 'darkweave', 'cord', 'gently', 'roll', 'sunlight', 'needed', 'textured', 'natural', 'shade', 'stylishly', 'complementary', 'coastal', 'lake', 'beach', 'mountain', 'cottage', 'traditional', 'style', 'interior', 'decorating', 'plan', 'use', 'natural', 'shade', 'outdoors', 'porch', 'deck', 'simply', 'unhook', 'bring', 'indoors', 'easily', 'season', 'choose', 'shade', 'size', 'inch', 'wide', 'larger', 'roll', 'easy', 'lifting', 'sizes', 'narrower', 'wide', 'fold', 'roman', 'style', 'size', 'install', 'easily', 'simple', 'hooks96', 'lactual', 'blind', 'width', 'inno', 'deduction', 'made', 'blind', 'actual', 'width', 'blind', 'width', 'orderedfor', 'inside', 'mount', 'fit', 'window', 'widefor', 'outside', 'mount', 'order', 'width', 'overall', 'area', 'coveredshade', 'provides', 'privacy', 'perfect', 'amount', 'lightships', 'within', 'business', 'daysbamboo', 'slat', 'held', 'dark', 'weave', 'cord', 'warm', 'tone', 'natural', 'beautynatural', 'material', 'may', 'vary', 'slightly', 'colorrolls', 'easily', 'want', 'let', 'additional', 'sunlightinstalls', 'minute', 'included', 'simple', 'hook', 'hardwarefilters', 'light', 'energyefficient', 'insulationincludes', 'matching', 'valance', 'color', 'coordinated', 'weaving', 'thread', 'pull', 'cordsdecorating', 'tip', 'add', 'depth', 'texture', 'room', 'layering', 'textured', 'window', 'shade', 'curtain', 'panel', 'cornice', 'boardsdecorating', 'tip', 'make', 'window', 'look', 'larger', 'hang', 'shade', 'outside', 'molding', 'ceilingnot', 'sure', 'size', 'buy', 'click', 'download', 'printable', 'window', 'treatment', 'measuring', 'guidewarning', 'cord', 'product', 'present', 'potential', 'strangulation', 'hazard', 'child', 'safety', 'consider', 'cordless', 'alternative', 'product', 'inaccessible', 'cord', 'access', 'copy', 'warning', 'label', 'see', 'additional', 'image']"
12,12,100013,"['insinkerator', 'sinktop', 'switch', 'single', 'outlet', 'insinkerator', 'disposers', 'stylish', 'alternative', 'wall', 'switch', 'switch', 'airactivated', 'mount', 'easily', 'sink', 'countertop', 'ideal', 'island', 'installationskit', 'includes', 'satin', 'nickel', 'chrome', 'white', 'finish', 'button', 'complement', 'decorcompatible', 'disposers', 'ac', 'sinksuitable', 'kitchen', 'island', 'installationsincludes', 'fitting', 'required', 'install', 'single', 'outlet', 'sink', 'top', 'switchadditional', 'button', 'finish', 'available', 'include', 'gloss', 'black', 'biscuit', 'mocha', 'bronze', 'oilrubbed', 'bronze', 'matte', 'black', 'french', 'gold']"
13,13,100014,"['rubbermaid', '1step', 'folding', 'plastic', 'step', 'stool', 'perfect', 'tool', 'need', 'extra', 'height', 'kitchen', 'bathroom', 'office', 'garage', 'folding', 'stool', 'feature', 'solid', 'onepiece', 'platform', 'top', 'step', 'making', 'much', 'stronger', 'sturdier', 'folding', 'stool', 'designed', 'easyfolding', 'frame', 'locking', 'top', 'step', 'weight', 'capacity', 'youll', 'feel', 'safe', 'comfortable', 'getting', 'hard', 'reach', 'place', 'step', 'stool', 'feature', 'nonslip', 'grip', 'foot', 'standing', 'platformfolds', 'easy', 'storage', 'virtually', 'anywhere300', 'load', 'capacitycomfortable', 'solid', 'standing', 'surfaceeasy', 'use']"
14,14,100015,"['backyard', 'xscapes', 'us', 'finest', 'bamboo', 'cane', 'anji', 'mountain', 'located', 'china', 'manufacturer', 'bamboo', 'fencing', 'bamboo', 'fencing', 'go', 'rigorous', 'process', 'ensure', 'customer', 'receiving', 'quality', 'bamboo', 'product', 'held', 'together', 'galvanized', 'steel', 'wire', 'cut', 'cap', 'top', 'construction', 'give', 'consumer', 'ability', 'easily', 'install', 'panel', 'additional', 'hardware', 'supply', 'versatility', 'panel', 'range', 'gate', 'door', 'additive', 'shade', 'roof', 'accent', 'use', 'economical', 'friendly', 'resource', 'help', 'enhance', 'indoor', 'andor', 'outdoor', 'appearancepest', 'resistantstrong', 'durableeasy', 'installationtreatment', 'fencing', 'treated', 'always', 'apply', 'good', 'quality', 'oil', 'based', 'uvresistant', 'wood', 'sealant', 'using', 'brush', 'best', 'applicationapprox', 'diameter', 'natural', 'colorheavy', 'duty', 'galvanized', 'steel', 'wire']"
15,15,100016,"['make', 'grilling', 'great', 'handsome', 'functional', 'grill', 'gazebo', 'grill', 'gazebo', 'great', 'gift', 'anyone', 'love', 'grill', 'included', 'providing', 'shade', 'protection', 'harmful', 'uv', 'ray', 'rain', 'debris', 'grill', 'gazebo', 'help', 'keep', 'grill', 'looking', 'great', 'keep', 'cool', 'grilling', 'hot', 'summer', 'sun', 'grill', 'gazebo', 'come', 'rich', 'brown', 'canopy', 'black', 'frame', 'foot', 'width', 'mean', 'easily', 'fit', 'size', 'grill', 'beneath', 'standing', 'foot', 'tall', 'even', 'tallest', 'grill', 'afficionado', 'fit', 'beneath', 'comfortably', 'upgrade', 'grilling', 'today', 'addition', 'stunning', 'grill', 'gazebovented', 'canopybuilt', 'lattice', 'work', 'great', 'holding', 'grill', 'accessories2', 'built', 'tile', 'shelvesversatile', 'design', 'coordinate', 'easilydurable', 'powder', 'coated', 'finishlow', 'maintenance', 'easy', 'clean']"
16,16,100017,"['md', 'building', 'products', 'aluminum', 'cloverleaf', 'natural', 'sheet', 'mill', 'finish', 'lightweight', 'strong', 'rust', 'resistant', 'making', 'suitable', 'variety', 'home', 'repair', 'project', 'easy', 'cut', 'form', 'feature', 'stylish', 'cloverleaf', 'designuse', 'repair', 'door', 'window', 'screen', 'add', 'stylish', 'accent', 'room', 'divider', 'cabinet', 'frontslightweight', 'sturdy', 'constructioneasy', 'cut', 'formrust', 'resistant36', 'inmill', 'aluminum', 'finishstylish', 'cloverleaf', 'design']"
17,17,100018,"['classic', 'plastic', 'sprinkler', 'head', 'fit', 'jw82', 'gal', 'watering', 'creating', 'gentle', 'shower', 'flower', 'make', 'plasticsize', 'diameter', 'tallthreaded', 'sprinkler', 'head', 'easily', 'attachescolor', 'whitemade', 'usa']"
18,18,100019,"['house', 'fara', 'linear', 'primed', 'mdf', 'overlapping', 'wainscot', 'paneling', 'help', 'create', 'linear', 'section', 'wainscot', 'chair', 'rail', 'base', 'moulding', 'paint', 'easy', 'install', 'primed', 'paneling', 'complement', 'decor', 'unique', 'detail', 'add', 'architectural', 'touch', 'room', 'projectcalifornia', 'resident', 'seenbspproposition', 'informationmdf', 'kit', 'includes', '1piece', 'chairrail', '1piece', 'base', 'piece', 'panelsoverlapping', 'wainscotprimed', 'ready', 'painted', 'preferenceeasy', 'install', 'instruction', 'includedkit', 'includes', 'chair', 'rail', 'base', 'moulding']"
19,19,100020,"['unique', 'led', 'multicolor', 'stick', 'sure', 'add', 'many', 'location', 'within', 'home', 'flexibility', 'linkable', 'give', 'many', 'option', 'particularly', 'cabinet', 'use', 'convenient', 'three', 'pack', 'sticksgreat', 'led', 'technology5', 'wattlast', 'hourscsa', 'ul', 'approvedhome', 'depot', 'protection', 'plan']"
20,20,100021,"['installed', 'park', 'backyard', 'across', 'globe', 'rain', 'birds', 'series', 'selling', 'commercialgrade', 'popup', 'sprinkler', 'world', 'chosen', 'reliability', 'heavyduty', 'material', 'versatility', 'series', 'offer', 'broad', 'selection', 'spray', 'head', 'watering', 'shrub', 'small', 'lawn', 'irregularly', 'shaped', 'planting', 'area', 'precision', 'spray', 'head', 'nozzle', 'customize', 'watering', 'system', 'cover', 'virtually', 'configuration', 'lawn', 'garden', 'sidewalk', 'driveway', 'series', 'offer', 'rain', 'birds', 'patented', 'popup', 'mechanism', 'outofsight', 'retraction', 'lawn', 'operation', 'wide', 'choice', 'nozzle', 'provides', 'full', 'circle', 'partial', 'circle', 'coverage', 'infinite', 'pattern', 'adjustment', 'optimum', 'headtohead', 'coveragespray', 'distance', 'ftpatented', 'closein', 'watering', 'efficient', 'uniform', 'water', 'coverage', 'resulting', 'elimination', 'dry', 'brown', 'spotsheavyduty', 'stainlesssteel', 'spring', 'help', 'ensure', 'flush', 'retractionpopup', 'sprinkler', 'head', 'feature', 'topadjustment', 'screw', 'adjust', 'spray', 'distance4', 'popup', 'heightdual', 'spray', 'technology', 'water', 'efficiencyreduces', 'water', 'waste', 'windy', 'conditionsnote', 'product', 'may', 'vary', 'store']"
21,21,100022,"['samsung', 'front', 'load', 'washer', 'steam', 'white', 'highefficiency', 'energy', 'starcee', 'tier', '3rated', 'washer', 'equipped', 'vibrationreduction', 'technology', 'clean', 'toughest', 'stain', 'ha', 'capacity', 'wash', 'king', 'size', 'comforter', 'stainless', 'steel', 'diamond', 'drum', 'gentler', 'clothes', 'traditional', 'washer', 'pure', 'cycle', 'keep', 'drum', 'fresh', 'offer', 'flexibility', 'nine', 'cycle', 'wa', 'constructed', 'premium', 'material', 'backed', '10year', 'manufacturer', 'warranty', 'motor42', 'doe', 'stainless', 'steel', 'basket', 'handle', 'bigger', 'load', 'let', 'enjoy', 'time', 'living', 'room', 'instead', 'laundry', 'roomstainless', 'steel', 'diamond', 'drum', 'wont', 'rust', 'damage', 'clothingsanitizing', 'cycle', 'cleaner', 'wash', 'ensures', 'right', 'water', 'temperature', 'activates', 'nsf', 'sanitize', 'cycle', 'bacteriafree', 'laundrysteam', 'stain', 'option', 'available', 'allergen', 'cycle', 'us', 'combination', 'water', 'temperature', 'steam', 'provide', 'optimal', 'environment', 'detergent', 'enzyme', 'work', 'removing', 'organic', 'stainsfeatures', 'nine', 'cycle', 'eco', 'wash', 'normal', 'heavy', 'duty', 'permanent', 'press', 'sanitize', 'bedding', 'deep', 'steam', 'delicates', 'woolenergy', 'star', 'cee', 'tier', '3ratedelectronic', 'control', 'provide', 'easy', '1touch', 'operation', 'cycle', 'display', 'timepreset', 'cycle', 'allow', 'customize', 'soil', 'spin', 'level', 'provide', 'ideal', 'wash', 'setting', 'best', 'resultsautomatic', 'water', 'level', 'adjustment', 'help', 'save', 'energy', 'costsdelay', 'start', 'feature', 'begin', 'operation', 'convenient', 'schedulevibrationreduction', 'technology', 'special', 'sensor', 'keep', 'drum', 'balanced', 'hardly', 'know', 'washer', 'onergonomic', 'frontload', 'design', 'make', 'loading', 'unloading', 'simple', 'easystackable', 'design', 'provides', 'allin1', 'vertical', 'look', 'maximize', 'floor', 'spacepedestal', 'shown', 'product', 'image', 'included', 'purchase', 'offered', 'separately', 'appliance', 'checkoutcan', 'used', 'highefficiency', 'detergent', 'typically', 'two', 'tablespoon', 'per', 'loadplease', 'note', 'home', 'depot', 'hook', 'washer', 'used', 'fill', 'hose', 'new', 'fill', 'hose', 'offered', 'appliance', 'checkoutclick', 'detail', 'service', 'included', 'delivery', 'basic', 'hookup', 'installation', 'option', 'major', 'appliances']"
22,22,100023,"['quikrete', 'crackresistant', 'concrete', 'designed', 'significantly', 'reduce', 'amount', 'cracking', 'caused', 'drying', 'shrinkage', 'concrete', 'ideal', 'driveway', 'walkway', 'floor', 'sidewalk', 'patio', 'special', 'blend', 'cement', 'sand', 'gravel', 'fiber', 'admixture', 'make', 'perfect', 'concrete', 'professional', 'novice', 'user', 'want', 'tackle', 'concrete', 'projectdesigned', 'used', 'slabongrade', 'application', 'without', 'use', 'wire', 'meshreduces', 'amount', 'cracking', 'caused', 'drying', 'shrinkageoffers', 'superior', 'workabilityprovides', 'superior', 'impact', 'resistance4000', 'concrete', 'mixnote', 'product', 'may', 'vary', 'store']"
23,23,100024,"['smartphones', 'refrigerator', 'everything', 'gasfree', '1250watt', 'generator', 'situation', 'silent', 'safe', 'easy', 'use', 'indoors', 'powerful', 'enough', 'backup', 'critical', 'appliance', 'refrigerator', 'freezer', 'well', 'home', 'health', 'care', 'equipment', 'power', 'tool', 'whether', 'backup', 'power', 'camping', 'tailgating', 'light', 'duty', 'construction', 'yeti', 'generator', 'get', 'donepower', 'light', 'tool', 'refrigerator', 'freezer', 'health', 'care', 'equipmentsilent', 'safe', 'noise', 'fumespower', 'tool', 'light', 'refrigerator', 'freezer', 'health', 'care', 'equipmentsafe', 'operate', 'indoors', 'cord', 'coming', 'outsidehome', 'depot', 'protection', 'plan']"
24,24,100025,"['save', 'back', 'make', 'moving', 'easier', 'telescopic', 'furniture', 'dolly', 'easily', 'adjust', 'sturdy', 'stainless', 'steel', 'bar', 'fit', 'larger', 'furniture', 'rubber', 'swivel', 'wheel', 'make', 'moving', 'large', 'heavy', 'object', 'around', 'corner', 'breeze', 'rear', 'locking', 'wheel', 'ensure', 'furniture', 'wont', 'roll', 'awayeasy', 'assemblytelescopic', 'dollyrubber', 'swivel', 'wheels2', 'locking', 'wheels4', 'sturdy', 'pvc', 'corner', 'pieces4', 'sturdy', 'stainless', 'steel', 'polesweight', 'limit', 'lbseach', 'side', 'extends', 'length']"
25,25,100026,"['yorkstone', 'patio', 'uniquely', 'designed', 'basketweave', 'pattern', 'add', 'beautiful', 'addition', 'backyard', 'get', 'expensive', 'natural', 'stone', 'look', 'fraction', 'price', 'entire', 'patio', 'one', 'palletbeautiful', 'color', 'blend', 'natural', 'stone', 'textureincludes', 'two', 'different', 'sized', 'patio', 'block', 'inprinted', 'pattern', 'included', 'pallet', 'easy', 'installation', 'visualuse', 'make', 'basket', 'weave', 'style', 'walkwaypurchase', 'multiple', 'patio', 'install', 'around', 'inground', 'pool', 'make', 'larger', 'outdoor', 'living', 'spacefor', 'installing', 'around', 'step', 'flowerbed', 'use', 'wet', 'masonry', 'saw', 'blade', 'cut', 'fit']"
26,26,100027,"['ultratouch', 'radiant', 'barrier', 'easy', 'use', 'install', 'made', 'recycled', 'natural', 'fiber', 'radiant', 'barrier', 'provides', 'excellent', 'thermal', 'acoustical', 'insulation', 'reflecting', 'radiant', 'energy', 'excellent', 'saving', 'heating', 'cooling', 'costsreflects', 'radiant', 'energy', 'reducing', 'heating', 'cooling', 'costseasy', 'use', 'installrecycled', 'naturalfiber', 'padding', 'durableblankettype', 'foilfaced', 'insulation', 'lightweight', 'versatileexcellent', 'acoustical', 'performanceclassa', 'class1', 'fire', 'rating']"
27,27,100028,"['reed', 'fencing', 'convenient', 'cost', 'effective', 'way', 'add', 'texture', 'dynamic', 'aesthetic', 'home', 'garden', 'fencing', 'constructed', 'fresh', 'water', 'reed', 'grows', 'abundantly', 'along', 'river', 'bank', 'wetland', 'estuary', 'preassembled', 'panel', 'carefully', 'woven', 'together', 'vinyl', 'coated', 'wire', 'ensure', 'durability', 'remaining', 'seamless', 'lightweight', 'material', 'perfect', 'easily', 'covering', 'unsightly', 'structure', 'old', 'fencing', 'add', 'tropical', 'aesthetic', 'landscape', 'pool', 'area', 'using', 'reed', 'fencing', 'screen', 'also', 'aid', 'enhancing', 'privacy', 'home', 'garden', 'using', 'renewable', 'resource', 'excellent', 'way', 'aid', 'preserving', 'environment', 'abundant', 'growth', 'rate', 'fresh', 'water', 'reed', 'make', 'ecofriendly', 'optionfresh', 'water', 'reed', 'ha', 'rapid', 'growth', 'rate', 'make', 'ecofriendly', 'optionefficiently', 'create', 'privacy', 'screen', 'home', 'yardproduct', 'measure', 'dia', 'high', 'longeasily', 'connect', 'additional', 'panel', 'tying', 'together', 'wire']"
28,28,100029,"['achieving', 'vintage', 'timeworn', 'look', 'simple', 'start', 'right', 'paint', 'americana', 'decorchalky', 'finish', 'paint', 'creating', 'beautiful', 'home', 'decor', 'furniture', 'piece', 'doe', 'require', 'skill', 'hour', 'training', 'make', 'storebought', 'piece', 'flea', 'market', 'find', 'look', 'like', 'came', 'european', 'estate', 'sale', 'french', 'countryside', 'cottage', 'using', 'americana', 'decor', 'chalky', 'finish', 'paintultramatte', 'sheen', 'quickly', 'customized', 'different', 'wax', 'varnish', 'delivers', 'smooth', 'soft', 'finish', 'every', 'timeone', 'coat', 'coverage', 'sealed', 'surface', 'base', 'color', 'one', 'cover', 'ftcleans', 'easily', 'soap', 'waterno', 'need', 'use', 'primer', 'reliable', 'adhesion', 'surface', 'without', 'sanding', 'using', 'layer', 'primerfinal', 'packaging', 'varyclick', 'learn', 'chalky', 'finish', 'paintchalky', 'finish', 'also', 'available', 'following', 'colorsonline', 'price', 'includes', 'paint', 'care', 'fee', 'following', 'state', 'ca', 'co', 'ct', 'mn', 'ri', 'vt']"
29,29,100030,"['white', 'designer', 'shelf', 'brackets', 'offer', 'stylish', 'alternative', 'typical', 'shelf', 'bracket', 'feature', 'seamless', 'white', 'vinyl', 'cover', 'placed', 'bracket', 'base', 'hide', 'hardware', 'provide', 'clean', 'simple', 'lookweight', 'capacity', 'per', 'pair', 'bracket', 'mounted', 'wall', 'studsdurable', 'steel', 'constructionsupports', 'shelving', 'display', 'home', 'decor', 'itemseasy', 'installation1', 'bracket', 'vinyl', 'cover', 'includedneutral', 'color', 'blend', 'home', 'decor', 'stylesupports', 'shelf', 'deep']"
